classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8299790875090729,0.0005774638882152587,0.8093873163740595,0.8713722680042996,0.6478600152404884,0.003389190264366961,0.6051401869158879,0.75,0.6695947329664536,0.01068304984966294,0.4977843426883309,0.7640117994100295,0.6542022110227087,0.0038096406757249356,0.5588723051409619,0.7265803503427266,0.8839746463205007,0.0007039534939377106,0.8553586625842489,0.9218290806594287
Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, word_count",0.7382690884227753,0.000745310512087686,0.7020057306590258,0.7689000358294518,0.4563655061304381,0.004356175576364235,0.3712374581939799,0.5334728033472803,0.3794050622431951,0.0024672291455472774,0.3274336283185841,0.45790251107828656,0.4132094987667734,0.0025089631193179474,0.34796238244514105,0.46969696969696967,0.7502179888357412,0.003457982675799417,0.6701258361869039,0.8081803940530108
KNN,TF-IDF,"qtd_reviews, qtd_photos",0.8018217325644545,0.0007927548854156256,0.7725644699140402,0.8405589394482265,0.5685150605202882,0.0022759536172450626,0.5201499531396439,0.6291759465478842,0.8030491976139746,0.004529369940181185,0.6868537666174298,0.859882005899705,0.6633177793222153,0.0012640668118314177,0.6361031518624642,0.7174603174603176,0.8499566597717958,0.0013987732631648413,0.7992740944871987,0.9019755054926781
XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.815935148692225,0.0004512028495394731,0.8000716589036188,0.8513077749910426,0.6376364149159112,0.0031193584845131098,0.5958132045088567,0.7314487632508834,0.5647995886764008,0.001383403738174813,0.5125553914327917,0.6115214180206795,0.5985812770375832,0.00179149957866117,0.5583266291230893,0.666130329847144,0.8707308991506721,0.0008333461280957391,0.8472730156556347,0.9196137727103127
Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.829262549804478,0.0005521857339250379,0.8115370834826228,0.869939089931924,0.6447922226470256,0.0031342907470437425,0.6091644204851752,0.7422839506172839,0.6734338984675581,0.010123561428221833,0.5036927621861153,0.7595870206489675,0.6546626364630772,0.0035734296642365953,0.564569536423841,0.7260377358490566,0.8833055583920222,0.0007249030117429978,0.8517923696423506,0.9211680867089908
Logistic Regression,BoW,"qtd_friends, qtd_reviews, word_count",0.7221469130720009,0.0007912272398908224,0.6923352435530086,0.7563597276961662,0.427774865244949,0.0031064716845366387,0.36903039073806077,0.49722735674676527,0.39681529217482997,0.00027336291410819217,0.37610619469026546,0.4194977843426883,0.4104893424307914,0.0008595253428847885,0.37253469685902113,0.44170771756978655,0.7261865348862048,0.0017307527468236967,0.6782239766914209,0.7857422347185324
KNN,BoW,"qtd_reviews, qtd_photos",0.8079838336281477,0.001010259245176538,0.7857398781798638,0.8627731995700466,0.5793270631978248,0.002960319039525288,0.5385365853658537,0.6701388888888888,0.7915495658008828,0.004926894026942776,0.6824224519940916,0.8552437223042836,0.6671587208305512,0.002314696818954281,0.6302864938608458,0.7514600908500972,0.8625815403439073,0.0012475909724646373,0.817065731865638,0.9152565229482288
XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8111355420975526,0.0005640822603321213,0.7886819484240688,0.8502328914367611,0.6281136739714783,0.00417115081067549,0.5691823899371069,0.7367458866544789,0.5524062866280615,0.0009368718435746857,0.518463810930576,0.5952732644017725,0.5874301847778691,0.0019313134722903657,0.5509893455098934,0.6584967320261438,0.8669676908397893,0.0010304146306768865,0.843472300440616,0.920051174626776
Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8328429540715707,0.0005626343935505641,0.8061626657112146,0.8667144392690792,0.679625698440587,0.003202985850906592,0.6118421052631579,0.7689594356261023,0.5919330030544263,0.00788960688890422,0.45937961595273263,0.6843657817109144,0.6300371762608996,0.004266296363856252,0.5460930640913081,0.7009646302250804,0.8856773973570654,0.0006660865586270836,0.8601264133462084,0.9220187845257544
Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, word_count",0.8042544137470111,0.00027249816366966954,0.7782156932998925,0.8202005730659025,0.6418965701177229,0.0031036958185086823,0.5545112781954887,0.6924939467312349,0.44580157993577424,0.0011280236547439055,0.4091580502215657,0.48672566371681414,0.5250568291474861,0.0010872961204430498,0.48800661703887516,0.5619546247818499,0.8601758569072983,0.0007745188163297616,0.8142697833532937,0.8889558112268354
KNN,Word2Vec,"qtd_reviews, qtd_photos",0.822097352419104,0.0002760712859964346,0.8122536725188104,0.8516660695091365,0.6513337832737504,0.0025539953549990144,0.6146926536731634,0.7311072056239016,0.5872223892498137,0.0048471349462278004,0.4638109305760709,0.6312684365781711,0.6144226471416658,0.0018269823374842584,0.548951048951049,0.6677367576243982,0.8575994969814065,0.0011367305183324974,0.8078558362411943,0.9020604005930779
XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8242454512508995,0.00047540355564746207,0.7975635972769617,0.855965603726263,0.6538508374980347,0.0026002593114005388,0.5903225806451613,0.7303182579564489,0.5892820573151549,0.005574584547195189,0.4815361890694239,0.6489675516224189,0.6180440652096861,0.003119653064416141,0.555366269165247,0.684458398744113,0.886876808262959,0.0005096835712813162,0.8616265761491582,0.9218112631692215
